"Mois de Reporting";"Mois de vente";"Plateforme";"Pays / Région";"Nom du label";"Nom de l'artiste";"Titre de la sortie";"Titre de la piste";"UPC";"ISRC";"Reference catalogue sortie";"Type de sortie";"Type de vente";"Quantite";"Devise de paiement du client";"Prix unitaire";"Frais de reproduction mechanique";"Revenu brut";"Taux de revenu client";"Revenu Net"
"2023-07-01";"2023-06-01";"Spotify";"Viet nam";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"PLATFORM PROMOTION";"14";"EUR";"-0,000341";"0,000000";"-0,004780251000000";"0,75";"-0,003585188250000"
"2023-07-01";"2023-06-01";"Spotify";"Cyprus";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"PLATFORM PROMOTION";"1";"EUR";"-0,000814";"0,000000";"-0,000813873000000";"0,75";"-0,000610404750000"
"2023-07-01";"2023-07-01";"YouTube Official Content";"Turkey";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"2";"EUR";"0,000598";"0,000000";"0,001195124452320";"0,75";"0,000896343339240"
"2023-07-01";"2023-07-01";"Apple Music";"Mauritius";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840797078";"FR-X76-21-64425";"";"Music release";"Stream";"1";"EUR";"0,002284";"0,000000";"0,002284060671360";"0,75";"0,001713045503520"
"2023-08-01";"2023-07-01";"Spotify";"Tunisia";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Toi & moi ";"3616840797078";"FR-X76-21-65460";"";"Music release";"Stream";"3";"EUR";"0,000944";"0,000000";"0,002831000100000";"0,75";"0,002123250075000"
"2023-07-01";"2023-06-01";"Amazon Premium";"France";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"68";"EUR";"0,010145";"0,000000";"0,689885249500000";"0,75";"0,517413937125000"
"2023-08-01";"2023-07-01";"Spotify";"Italy";"Petit Voyou Music";"Petit Voyou";"Alice";"Alice ";"3616558444790";"QZ-HN6-20-13061";"";"Music release";"PLATFORM PROMOTION";"9";"EUR";"-0,000989";"0,000000";"-0,008900782200000";"0,75";"-0,006675586650000"
"2023-08-01";"2023-07-01";"Spotify";"United kingdom";"Petit Voyou Music";"Petit Voyou";"Alice";"Alice ";"3616558444790";"QZ-HN6-20-13061";"";"Music release";"PLATFORM PROMOTION";"12";"EUR";"-0,001333";"0,000000";"-0,015996024000000";"0,75";"-0,011997018000000"
"2023-08-01";"2023-07-01";"Spotify";"Turkey";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"316";"EUR";"0,000340";"0,000000";"0,107376006600000";"0,75";"0,080532004950000"
"2023-08-01";"2023-06-01";"Deezer";"Czech republic";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840775786";"FR-X76-21-64425";"";"Music release";"Stream";"1";"EUR";"0,011407";"0,000000";"0,011407131000000";"0,75";"0,008555348250000"
